#TYPE System.Data.DataRow
"ProductID","Name","ProductNumber","Color","StandardCost","ListPrice","Size","Weight","ProductCategoryID","ProductModelID","SellStartDate","SellEndDate","DiscontinuedDate","ThumbNailPhoto","ThumbnailPhotoFileName","rowguid","ModifiedDate"
"680","HL Road Frame - Black, 58","FR-R92B-58","Black","1059.3100","1431.5000","58","1016.04","18","6","6/1/2002 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","43dd68d6-14a4-461f-9069-55309d90ea7e","3/11/2008 10:01:36 AM"
"706","HL Road Frame - Red, 58","FR-R92R-58","Red","1059.3100","1431.5000","58","1016.04","18","6","6/1/2002 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","9540ff17-2712-4c90-a3d1-8ce5568b2462","3/11/2008 10:01:36 AM"
"707","Sport-100 Helmet, Red","HL-U509-R","Red","13.0863","34.9900","","","35","33","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","2e1ef41a-c08a-4ff6-8ada-bde58b64a712","3/11/2008 10:01:36 AM"
"708","Sport-100 Helmet, Black","HL-U509","Black","13.0863","34.9900","","","35","33","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","a25a44fb-c2de-4268-958f-110b8d7621e2","3/11/2008 10:01:36 AM"
"709","Mountain Bike Socks, M","SO-B909-M","White","3.3963","9.5000","M","","27","18","7/1/2005 12:00:00 AM","6/30/2006 12:00:00 AM","","System.Byte[]","no_image_available_small.gif","18f95f47-1540-4e02-8f1f-cc1bcb6828d0","3/11/2008 10:01:36 AM"
"710","Mountain Bike Socks, L","SO-B909-L","White","3.3963","9.5000","L","","27","18","7/1/2005 12:00:00 AM","6/30/2006 12:00:00 AM","","System.Byte[]","no_image_available_small.gif","161c035e-21b3-4e14-8e44-af508f35d80a","3/11/2008 10:01:36 AM"
"711","Sport-100 Helmet, Blue","HL-U509-B","Blue","13.0863","34.9900","","","35","33","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","fd7c0858-4179-48c2-865b-abd5dfc7bc1d","3/11/2008 10:01:36 AM"
"712","AWC Logo Cap","CA-1098","Multi","6.9223","8.9900","","","23","2","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","b9ede243-a6f4-4629-b1d4-ffe1aedc6de7","3/11/2008 10:01:36 AM"
"713","Long-Sleeve Logo Jersey, S","LJ-0192-S","Multi","38.4923","49.9900","S","","25","11","7/1/2005 12:00:00 AM","","","System.Byte[]","awc_jersey_male_small.gif","fd449c82-a259-4fae-8584-6ca0255faf68","3/11/2008 10:01:36 AM"
"714","Long-Sleeve Logo Jersey, M","LJ-0192-M","Multi","38.4923","49.9900","M","","25","11","7/1/2005 12:00:00 AM","","","System.Byte[]","awc_jersey_male_small.gif","6a290063-a0cf-432a-8110-2ea0fda14308","3/11/2008 10:01:36 AM"
"715","Long-Sleeve Logo Jersey, L","LJ-0192-L","Multi","38.4923","49.9900","L","","25","11","7/1/2005 12:00:00 AM","","","System.Byte[]","awc_jersey_male_small.gif","34cf5ef5-c077-4ea0-914a-084814d5cbd5","3/11/2008 10:01:36 AM"
"716","Long-Sleeve Logo Jersey, XL","LJ-0192-X","Multi","38.4923","49.9900","XL","","25","11","7/1/2005 12:00:00 AM","","","System.Byte[]","awc_jersey_male_small.gif","6ec47ec9-c041-4dda-b686-2125d539ce9b","3/11/2008 10:01:36 AM"
"717","HL Road Frame - Red, 62","FR-R92R-62","Red","868.6342","1431.5000","62","1043.26","18","6","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","052e4f8b-0a2a-46b2-9f42-10febcfae416","3/11/2008 10:01:36 AM"
"718","HL Road Frame - Red, 44","FR-R92R-44","Red","868.6342","1431.5000","44","961.61","18","6","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","a88d3b54-2cae-43f2-8c6e-ea1d97b46a7c","3/11/2008 10:01:36 AM"
"719","HL Road Frame - Red, 48","FR-R92R-48","Red","868.6342","1431.5000","48","979.75","18","6","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","07befc9a-7634-402b-b234-d7797733baaf","3/11/2008 10:01:36 AM"
"720","HL Road Frame - Red, 52","FR-R92R-52","Red","868.6342","1431.5000","52","997.90","18","6","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","fcfea68f-310e-4e6e-9f99-bb17d011ebae","3/11/2008 10:01:36 AM"
"721","HL Road Frame - Red, 56","FR-R92R-56","Red","868.6342","1431.5000","56","1016.04","18","6","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","56c85873-4993-41b4-8096-1067cfd7e4bd","3/11/2008 10:01:36 AM"
"722","LL Road Frame - Black, 58","FR-R38B-58","Black","204.6251","337.2200","58","1115.83","18","9","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","2140f256-f705-4d67-975d-32de03265838","3/11/2008 10:01:36 AM"
"723","LL Road Frame - Black, 60","FR-R38B-60","Black","204.6251","337.2200","60","1124.90","18","9","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","aa95e2a5-e7c4-4b74-b1ea-b52ee3b51537","3/11/2008 10:01:36 AM"
"724","LL Road Frame - Black, 62","FR-R38B-62","Black","204.6251","337.2200","62","1133.98","18","9","7/1/2005 12:00:00 AM","","","System.Byte[]","no_image_available_small.gif","5247be33-50bf-4527-8a30-a39aae500a8e","3/11/2008 10:01:36 AM"
"725","LL Road Frame - Red, 44","FR-R38R-44","Red","187.1571","337.2200","44","1052.33","18","9","7/1/2005 12:00:00 AM","6/30/2007 12:00:00 AM","","System.Byte[]","no_image_available_small.gif","137d319d-44ad-42b2-ab61-60b9ce52b5f2","3/11/2008 10:01:36 AM"
"726","LL Road Frame - Red, 48","FR-R38R-48","Red","187.1571","337.2200","48","1070.47","18","9","7/1/2005 12:00:00 AM","6/30/2007 12:00:00 AM","","System.Byte[]","no_image_available_small.gif","35213547-275f-4767-805d-c8a4b8e13745","3/11/2008 10:01:36 AM"
"727","LL Road Frame - Red, 52","FR-R38R-52","Red","187.1571","337.2200","52","1088.62","18","9","7/1/2005 12:00:00 AM","6/30/2007 12:00:00 AM","","System.Byte[]","no_image_available_small.gif","c455e0b3-d716-419d-abf0-7e03efdd2e26","3/11/2008 10:01:36 AM"
"728","LL Road Frame - Red, 58","FR-R38R-58","Red","187.1571","337.2200","58","1115.83","18","9","7/1/2005 12:00:00 AM","6/30/2007 12:00:00 AM","","System.Byte[]","no_image_available_small.gif","799a56ff-5ad2-41b3-bfac-528b477ad129","3/11/2008 10:01:36 AM"
"729","LL Road Frame - Red, 60","FR-R38R-60","Red","187.1571","337.2200","60","1124.90","18","9","7/1/2005 12:00:00 AM","6/30/2007 12:00:00 AM","","System.Byte[]","no_image_available_small.gif","1784bb14-d1f5-4b24-92da-9127ad179302","3/11/2008 10:01:36 AM"
