#TYPE System.Data.DataRow
"ProductDescriptionID","Description","rowguid","ModifiedDate"
"3","Chromoly steel.","301eed3a-1a82-4855-99cb-2afe8290d641","6/1/2007 12:00:00 AM"
"4","Aluminum alloy cups; large diameter spindle.","dfeba528-da11-4650-9d86-cafda7294eb0","6/1/2007 12:00:00 AM"
"5","Aluminum alloy cups and a hollow axle.","f7178da7-1a7e-4997-8470-06737181305e","6/1/2007 12:00:00 AM"
"8","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","8e6746e5-ad97-46e2-bd24-fcea075c3b52","6/1/2007 12:00:00 AM"
"64","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","7b1c4e90-85e2-4792-b47b-e0c424e2ec94","6/1/2007 12:00:00 AM"
"88","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","4c1ad253-357e-4a98-b02e-02180aa406f6","6/1/2007 12:00:00 AM"
"128","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","130709e6-8512-49b9-9f62-1f5c99152056","3/11/2008 10:32:17 AM"
"168","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","db979da6-4cc8-4171-9ecf-65003ff8178a","6/1/2007 12:00:00 AM"
"170","Suitable for any type of off-road trip. Fits any budget.","ea772412-6369-4416-9cc9-c1a5d1ff9c52","6/1/2007 12:00:00 AM"
"209","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","f5ff5ffd-cb7c-4ad6-bbc9-4d250bb6e98d","6/1/2007 12:00:00 AM"
"249","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","4291f144-7693-4460-8b0b-1373e0433021","6/1/2007 12:00:00 AM"
"320","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","e130ded9-d0ec-4656-bf4d-1a3a46491891","6/1/2007 12:00:00 AM"
"321","Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.","c7b429da-dc51-47db-a18e-5891e76ccc16","6/1/2007 12:00:00 AM"
"337","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","db560f0b-e70b-42a7-a1f5-3b7e42d3679d","6/1/2007 12:00:00 AM"
"375","Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day.","747b2185-0320-4fe5-8e8f-27b84a40a838","6/1/2007 12:00:00 AM"
"376","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","f1d9955b-bc1c-4d34-be8b-cdee33e77087","6/1/2007 12:00:00 AM"
"409","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","3dc76714-7572-4547-9d79-abb708950b2c","6/1/2007 12:00:00 AM"
"457","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","3ddb8dea-fc37-4e44-8c1d-0bf7c6a723e3","6/1/2007 12:00:00 AM"
"513","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","741eae59-5e59-4dbc-9086-2633392c2582","6/1/2007 12:00:00 AM"
"554","The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.","ddc955b2-843e-49ce-8f7b-54870f6135eb","6/1/2007 12:00:00 AM"
"594","Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.","32b82c92-e545-4da0-a175-0be710b482fe","6/1/2007 12:00:00 AM"
"613","Superior shifting performance.","9c7d8618-a3c3-4c0f-8c72-2e10124e88ca","6/1/2007 12:00:00 AM"
"618","Super rigid spindle.","e15ffa7e-bde8-4de1-8e81-f197a56e0c9d","6/1/2007 12:00:00 AM"
"619","High-strength crank arm.","b62b08ac-a6da-43bc-950f-2de2eb5720eb","6/1/2007 12:00:00 AM"
"620","Triple crankset; alumunim crank arm; flawless shifting.","e944d225-c6a7-4fa6-a31f-b6ce95e53203","6/1/2007 12:00:00 AM"
"627","All-weather brake pads; provides superior stopping by applying more surface to the rim.","ebf2f0a4-89f2-4d31-be48-d8fd278f3024","6/1/2007 12:00:00 AM"
"630","Wide-link design.","28c4682c-38b2-4b61-a2ae-bcac7c7ce29b","6/1/2007 12:00:00 AM"
"633","Stout design absorbs shock and offers more precise steering.","27cccdbf-7e02-4328-9c05-e406bd2e5a60","6/1/2007 12:00:00 AM"
"634","Composite road fork with an aluminum steerer tube.","53ee20f0-1de9-44c2-8a5d-4cfa349f1a07","6/1/2007 12:00:00 AM"
"635","High-performance carbon road fork with curved legs.","c2399002-e273-409b-8164-42f6e6bfcc6c","6/1/2007 12:00:00 AM"
"637","Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.","f49ee591-b110-4cf5-bc17-62bb838dc58a","6/1/2007 12:00:00 AM"
"642","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.","35fbeefd-10e6-4420-b0ae-051b57feff36","6/1/2007 12:00:00 AM"
"644","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.","e4b9f9b5-7428-4b34-b8ea-3fb6ee4bc4f8","6/1/2007 12:00:00 AM"
"647","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","7ad9e29f-16cf-4db0-b073-cc62d501b61a","6/1/2007 12:00:00 AM"
"661","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","d61c9d54-22c3-4563-a418-0b9dc7e03850","6/1/2007 12:00:00 AM"
"686","Replacement mountain wheel for entry-level rider.","7dcc4b3a-7e9a-4eec-aaee-0e841cdbbebc","6/1/2007 12:00:00 AM"
"687","Replacement mountain wheel for the casual to serious rider.","fd18e90e-527a-4e12-9f52-6c07ac6ec3e8","6/1/2007 12:00:00 AM"
"688","High-performance mountain replacement wheel.","d42f33d8-59a8-4a69-9a5b-970fc4d8f745","6/1/2007 12:00:00 AM"
"689","Replacement road front wheel for entry-level cyclist.","092782ab-1a5e-464b-9819-ad8e240caa31","6/1/2007 12:00:00 AM"
"690","Sturdy alloy features a quick-release hub.","de38fbd2-7fa8-4a53-9e68-7698b85c6745","6/1/2007 12:00:00 AM"
"691","Strong wheel with double-walled rim.","26ab2ed2-d091-4a0a-8185-e9fef31e07d4","6/1/2007 12:00:00 AM"
"692","Aerodynamic rims for smooth riding.","b7dd5fbe-0fe5-4823-9587-93e434c8d54b","6/1/2007 12:00:00 AM"
"697","All-purpose bar for on or off-road.","588e01b9-b814-4c24-9fa8-13426bce8015","6/1/2007 12:00:00 AM"
"698","Tough aluminum alloy bars for downhill.","11f00c5f-7368-4705-92af-58d1e82c08c6","6/1/2007 12:00:00 AM"
"699","Flat bar strong enough for the pro circuit.","c0e9be9d-2fa1-423e-885b-d09b94d46a5e","6/1/2007 12:00:00 AM"
"700","Unique shape provides easier reach to the levers.","30b6f312-1716-4af2-88cf-ec63fc047b18","6/1/2007 12:00:00 AM"
"701","Anatomically shaped aluminum tube bar will suit all riders.","04945427-a874-48f4-9d65-140edf814ccc","6/1/2007 12:00:00 AM"
"702","Designed for racers; high-end anatomically shaped bar from aluminum alloy.","1da8faeb-2f2e-43b7-b869-9fce371b8409","6/1/2007 12:00:00 AM"
"703","Unique shape reduces fatigue for entry level riders.","89e10dbb-ce1f-43a7-bae3-579447fb6ee4","6/1/2007 12:00:00 AM"
"704","A light yet stiff aluminum bar for long distance riding.","da790b2b-8aad-485b-b1a9-ccbed7d1d09d","6/1/2007 12:00:00 AM"
"744","Threadless headset provides quality at an economical price.","438b7135-8104-4e80-942b-e4b9441ab8da","6/1/2007 12:00:00 AM"
"745","Sealed cartridge keeps dirt out.","0b1c704b-d91a-432e-897c-54633c7f0748","6/1/2007 12:00:00 AM"
"746","High-quality 1"" threadless headset with a grease port for quick lubrication.","584c3390-088a-4995-8e6d-1f7fa08c1675","6/1/2007 12:00:00 AM"
"847","Expanded platform so you can ride in any shoes; great for all-around riding.","509c5517-89e3-4a06-bda2-e3892a868c09","6/1/2007 12:00:00 AM"
"848","Lightweight, durable, clipless pedal with adjustable tension.","03acbb19-749a-48a1-b77e-5d2a48e8dc3a","6/1/2007 12:00:00 AM"
"849","Stainless steel; designed to shed mud easily.","dad9fd48-510c-46cb-95e5-77eac3472976","6/1/2007 12:00:00 AM"
"850","Clipless pedals - aluminum.","3643c62a-b4f2-4bfc-ab03-40486c3d0ff9","6/1/2007 12:00:00 AM"
"851","Lightweight aluminum alloy construction.","0b605de4-ff6b-40ba-9a5d-d4d6211cd07e","6/1/2007 12:00:00 AM"
"852","Top-of-the-line clipless pedals with adjustable tension.","41c6ce78-b089-4e0b-9b91-e57a6bb010dc","6/1/2007 12:00:00 AM"
"853","A stable pedal for all-day riding.","fd705716-8e54-4896-9b86-afbdaa6f9759","6/1/2007 12:00:00 AM"
"856","Refillable shoes; polished aluminum calipers.","87cca1c1-9502-4f58-a8c7-e920220fa106","6/1/2007 12:00:00 AM"
"858","10-speed aluminum derailleur with sealed pulley bearings.","e2dd66ad-6115-4c94-9884-cec7466bcf6c","6/1/2007 12:00:00 AM"
"867","Replacement rear mountain wheel for entry-level rider.","21680b71-10be-4672-92a8-6663f38a76b0","6/1/2007 12:00:00 AM"
"868","Replacement rear mountain wheel for the casual to serious rider.","d316c44e-d714-4fb8-a4ba-a2fe6fc029c8","6/1/2007 12:00:00 AM"
"869","Extra-strong rims guarantee durability.","963410ee-29ac-4e6b-8aea-1a40e3f04cd6","6/1/2007 12:00:00 AM"
"870","Replacement rear wheel for entry-level cyclist.","de6fb8f1-84aa-48d9-8a24-268695d3155e","6/1/2007 12:00:00 AM"
"871","Aluminum alloy rim with stainless steel spokes; built for speed.","9728bb39-e515-47d8-bf9b-a3c8c2129e45","6/1/2007 12:00:00 AM"
"872","Strong rear wheel with double-walled rim.","834081be-158f-41a6-8d0c-1e7b4d3abba3","6/1/2007 12:00:00 AM"
"873","Excellent aerodynamic rims guarantee a smooth ride.","e055efc7-5f01-4d4d-b024-33ab5b6c6ad1","6/1/2007 12:00:00 AM"
"885","Synthetic leather. Features gel for increased comfort.","fb8c8abb-4a51-4852-a870-6047b8834d22","6/1/2007 12:00:00 AM"
"886","Designed to absorb shock.","f016e3d7-6177-43a3-8bff-160320966471","3/11/2008 10:32:17 AM"
"887","Anatomic design for a full-day of riding in comfort. Durable leather.","baf38c0e-69bf-4f6c-805a-c7c1c6e9056a","6/1/2007 12:00:00 AM"
"888","Lightweight foam-padded saddle.","76153f63-2a1c-4ee6-bbcf-0585d8ac8c55","6/1/2007 12:00:00 AM"
"889","Rubber bumpers absorb bumps.","289fb4ca-b70a-458e-aafb-d13cb073058c","6/1/2007 12:00:00 AM"
"890","Lightweight kevlar racing saddle. Leather.","dee34939-fc85-401a-930b-75ebebf7ffe1","6/1/2007 12:00:00 AM"
"891","Comfortable, ergonomically shaped gel saddle.","dd890d9d-0143-4476-b489-86d8d6094aa4","6/1/2007 12:00:00 AM"
"892","New design relieves pressure for long rides.","3410c26d-01a6-416f-898a-43228fa1fad6","6/1/2007 12:00:00 AM"
"893","Cut-out shell for a more comfortable ride.","19da3868-1559-462f-8098-00be37bdbedc","6/1/2007 12:00:00 AM"
"903","Comparible traction, less expensive wire bead casing.","b83be4a3-a95b-4d96-81de-16325f0df11e","6/1/2007 12:00:00 AM"
"904","Great traction, high-density rubber.","e917f093-2a28-496b-aebf-a704cd738038","6/1/2007 12:00:00 AM"
"905","Incredible traction, lightweight carbon reinforced.","1153e56d-b9e1-458e-a2bb-d6d6362c5b05","6/1/2007 12:00:00 AM"
"906","Same great treads as more expensive tire with a less expensive wire bead casing.","2e1975de-21b8-4ec9-9998-6f39e14d476c","6/1/2007 12:00:00 AM"
"907","Higher density rubber.","dcbc8264-c4d7-4b04-9531-92ab4c868c10","6/1/2007 12:00:00 AM"
"908","Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.","61c5ea6b-1aca-4147-908e-5a7eb753e1bb","6/1/2007 12:00:00 AM"
"909","High-density rubber.","ac6c74a4-9aed-4eb8-8800-efe07516fcdb","6/1/2007 12:00:00 AM"
"912","Self-sealing tube.","b9f94c67-9b0a-42d4-be78-9401ac9aa833","6/1/2007 12:00:00 AM"
"913","Conventional all-purpose tube.","2e55dcf6-fd71-4c7b-a631-1d62ae802190","6/1/2007 12:00:00 AM"
"914","General purpose tube.","8c0661b2-e4dc-4333-8f32-9a5c8ca37181","6/1/2007 12:00:00 AM"
"1020","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","f4c70a6b-bbe8-4774-9d75-393d3f315e9b","6/1/2007 12:00:00 AM"
"1062","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.","93e456bb-0e31-4a33-b3bd-73936b8ac6cc","6/1/2007 12:00:00 AM"
"1090","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","7054c83c-bd9b-4e24-8476-4d1b37bb08df","6/1/2007 12:00:00 AM"
"1146","Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.","39a06654-8e9a-4b56-a943-fca2598bc444","6/1/2007 12:00:00 AM"
"1182","The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.","87a7609b-8cff-4b60-9af0-e0e5045e4a2d","6/1/2007 12:00:00 AM"
"1183","Affordable light for safe night riding - uses 3 AAA batteries","23a26944-4a02-4add-962f-781866953d87","6/1/2007 12:00:00 AM"
