#TYPE System.Data.DataRow
"ProductModelID","ProductDescriptionID","Culture","rowguid","ModifiedDate"
"1","1199","en    ","4d00b649-027a-4f99-a380-f22a46ec8638","6/1/2007 12:00:00 AM"
"1","1467","ar    ","7de7204e-4efc-40f7-b9e6-0ceb4162399c","6/1/2007 12:00:00 AM"
"1","1589","fr    ","20bffcf4-bfa6-400b-bf34-9a689779eae4","6/1/2007 12:00:00 AM"
"1","1712","th    ","af18bc29-f378-4512-a59b-d55217f4f82b","6/1/2007 12:00:00 AM"
"1","1838","he    ","23830ac3-3b16-49d1-9ba1-3a8996f0fa7a","6/1/2007 12:00:00 AM"
"1","1965","zh-cht","14ed10b6-0acf-4d67-9760-6cc622c1f78e","6/1/2007 12:00:00 AM"
"2","1210","en    ","623741c2-74bd-4ce1-a554-1fe8c0606b4b","6/1/2007 12:00:00 AM"
"2","1476","ar    ","1451eb3e-bb1d-45be-8633-32938460ae99","6/1/2007 12:00:00 AM"
"2","1598","fr    ","6d7b1148-6159-4ec5-b469-d106ffef6ca5","6/1/2007 12:00:00 AM"
"2","1721","th    ","6afcd17b-e1ed-4d7b-a695-cd9e76b327c9","6/1/2007 12:00:00 AM"
"2","1847","he    ","5e2ac850-c79d-4c3d-a61a-ff5ed290a4c7","6/1/2007 12:00:00 AM"
"2","1974","zh-cht","8eac26ea-e409-454e-99ee-ace0f8663577","6/1/2007 12:00:00 AM"
"3","1195","en    ","cda535b4-0a39-422d-9ea4-de1635903797","6/1/2007 12:00:00 AM"
"3","1464","ar    ","9349873b-f371-4ef5-8a79-81ebafd3ffe6","6/1/2007 12:00:00 AM"
"3","1586","fr    ","3e7c5796-70bc-43ef-b65a-3d6ec98661ed","6/1/2007 12:00:00 AM"
"3","1709","th    ","772c7181-526e-4452-b4b7-e3005144ff73","6/1/2007 12:00:00 AM"
"3","1835","he    ","8be4d39f-ec59-4b2b-90dc-ec7f3bf46d8b","6/1/2007 12:00:00 AM"
"3","1961","zh-cht","2cb234a2-92d7-424d-b7cb-7a2070360971","6/1/2007 12:00:00 AM"
"4","1194","en    ","a64fa151-2474-44ac-acfa-5b8ea00b3ec1","6/1/2007 12:00:00 AM"
"4","1463","ar    ","0205cb4a-84d8-4c0d-ae64-0dca70f9b53b","6/1/2007 12:00:00 AM"
"4","1585","fr    ","76957ebc-f576-4312-80b8-f598a560bc1b","6/1/2007 12:00:00 AM"
"4","1708","th    ","32d087f1-0352-4c82-8ca6-954c23ed309f","6/1/2007 12:00:00 AM"
"4","1834","he    ","2e7d6629-dbb1-4eff-81db-b1fb6ee63058","6/1/2007 12:00:00 AM"
"4","1960","zh-cht","958fced1-f112-463f-b45a-1d2d854776d3","6/1/2007 12:00:00 AM"
"5","647","en    ","56b6b980-c1ca-4545-a5ba-edc4c14bdcf9","6/1/2007 12:00:00 AM"
"5","1400","ar    ","748b7df8-9479-4a04-995e-3c6b64eb0e87","6/1/2007 12:00:00 AM"
"5","1605","fr    ","6cc243bc-b8fa-4bd2-9392-8ead11c55406","6/1/2007 12:00:00 AM"
"5","1639","th    ","9eec350f-b9e3-4b49-b399-9772d68c4740","6/1/2007 12:00:00 AM"
"5","1768","he    ","e361401f-4721-40d5-a4ff-c9ad4d6813e3","6/1/2007 12:00:00 AM"
"5","1889","zh-cht","b83ec1c6-72d4-4238-af1d-85bacc56aa65","6/1/2007 12:00:00 AM"
"6","1090","en    ","19e63143-99fd-432d-afd7-0afae1866496","6/1/2007 12:00:00 AM"
"6","1451","ar    ","8e25e2d5-fac9-4421-96b2-03849bbb864e","6/1/2007 12:00:00 AM"
"6","1573","fr    ","73681740-1606-4260-87f9-2f0d7abab81c","6/1/2007 12:00:00 AM"
"6","1696","th    ","79d0a3ee-a314-4315-bc97-3cea1f9a802c","6/1/2007 12:00:00 AM"
"6","1827","he    ","87e75771-2a87-4d19-b747-3d827cbc4c74","6/1/2007 12:00:00 AM"
"6","1948","zh-cht","4b2ccbd7-073e-4297-998a-8d19fcdcc794","6/1/2007 12:00:00 AM"
"7","1182","en    ","9180a0db-8862-4a34-8e73-2880ae237dc9","6/1/2007 12:00:00 AM"
"7","1453","ar    ","a9725fb5-3fbc-4662-9ce4-e77db885678d","6/1/2007 12:00:00 AM"
"7","1575","fr    ","b80e8c3b-4a65-45fd-90e5-a9e8db628612","6/1/2007 12:00:00 AM"
"7","1698","th    ","3e56d60d-5b7e-4e22-ba4a-dec6ff684149","6/1/2007 12:00:00 AM"
"7","1829","he    ","0c811116-16b0-48b3-9adb-edc1f822b614","6/1/2007 12:00:00 AM"
"7","1950","zh-cht","50018dbd-0a1b-42d3-b258-813fe1738731","6/1/2007 12:00:00 AM"
"8","637","en    ","8dee061d-166c-4e58-ba04-33625318de94","6/1/2007 12:00:00 AM"
"8","1397","ar    ","5952a562-2197-4787-991f-a70c324a3e34","6/1/2007 12:00:00 AM"
